Symbiodinium42993	PFAM SMP-30 Gluconolaconase
Symbiodinium44063	Catalyzes the synthesis of GMP from XMP
Symbiodinium34664	Beta-lactamase
Symbiodinium42536	Mitochondrial biogenesis AIM24
Symbiodinium21191	Ubiquitin-like modifier-activating enzyme ATG7 N-terminus
Symbiodinium26910	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
Symbiodinium24272	Neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase
Symbiodinium12044	inorganic anion exchanger activity
Symbiodinium44850	Glycosyltransferase sugar-binding region containing DXD motif
Symbiodinium40915	La-related protein
Symbiodinium20008	Ribosomal protein S1-like RNA-binding domain
Symbiodinium48069	Glycosyl hydrolases family 2
Symbiodinium31982	AN1-like Zinc finger
Symbiodinium6410	A domain family that is part of the cupin metalloenzyme superfamily.
Symbiodinium46749	RNA-binding protein mei2 homologue
Symbiodinium37294	Heterogeneous nuclear ribonucleoprotein 1-like
Symbiodinium45254	Beta-lactamase superfamily domain
Symbiodinium28727	Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits
Symbiodinium7249	cryptochrome
Symbiodinium32512	myotome development
Symbiodinium25646	Leucine rich transmembrane and O-methyltransferase domain containing
Symbiodinium40591	Deltex 3 like, E3 ubiquitin ligase
Symbiodinium16286	Protein of unknown function (DUF521)
Symbiodinium30423	dynein, light chain
Symbiodinium24276	PFAM aminotransferase class I and II
Symbiodinium10394	Capsular polysaccharide synthesis protein
Symbiodinium57235	Ceramidase
Symbiodinium53211	GDP-Man Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase
Symbiodinium58515	Exostosin family
Symbiodinium23105	Prolyl 4-hydroxylase alpha subunit homologues.
Symbiodinium33456	[acyl-carrier-protein] S-malonyltransferase activity
Symbiodinium26967	Acyl-CoA dehydrogenase, C-terminal domain
Symbiodinium24606	Er lumen protein retaining receptor
Symbiodinium29002	Cytochrome p450
Symbiodinium56873	PFAM Radical SAM domain protein
Symbiodinium39755	Carboxylesterase family
Symbiodinium29350	Ankyrin repeat
Symbiodinium39370	and ankyrin repeat domains
Symbiodinium54591	Asp/Glu/Hydantoin racemase
Symbiodinium38180	serine threonine-protein kinase
Symbiodinium19831	Acetyl-coenzyme A transporter 1
Symbiodinium47356	PFAM Glycoside hydrolase, family 20, catalytic core
Symbiodinium26769	Manganese-stabilising protein / photosystem II polypeptide
Symbiodinium27470	peptidyl-prolyl cis-trans isomerase activity
Symbiodinium38476	Transmembrane amino acid transporter protein
Symbiodinium57344	Esterase PHB depolymerase
Symbiodinium5446	serine threonine-protein kinase
Symbiodinium18666	Serine threonine-protein kinase OXI1-like
Symbiodinium57657	PFAM DTW domain containing protein
Symbiodinium54039	Ring finger domain
Symbiodinium39882	protein disulfide isomerase activity
Symbiodinium15593	Belongs to the cytochrome b5 family
Symbiodinium35685	U2 snRNP auxiliary factor
Symbiodinium32901	Belongs to the DHHC palmitoyltransferase family
Symbiodinium7775	Essential component of the cytosolic iron-sulfur (Fe S) protein assembly machinery. Required for the maturation of extramitochondrial Fe S proteins
Symbiodinium47733	Formate/nitrite transporter
Symbiodinium35656	Binds specifically to cytosolic chaperonin (c-CPN) and transfers target proteins to it. Binds to nascent polypeptide chain and promotes folding in an environment in which there are many competing pathways for nonnative proteins
Symbiodinium33051	MMPL family
Symbiodinium9294	calmodulin-dependent protein kinase activity
Symbiodinium32119	sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity
Symbiodinium12579	GTP binding protein 7 isoform 2 family protein
Symbiodinium29423	SMP-30/Gluconolaconase/LRE-like region
Symbiodinium43046	Belongs to the enoyl-CoA hydratase isomerase family
Symbiodinium14152	Cytochrome b6-f complex subunit
Symbiodinium26681	Cold shock protein
Symbiodinium19540	This protein is an auxiliary protein of DNA polymerase delta and is involved in the control of eukaryotic DNA replication by increasing the polymerase's processibility during elongation of the leading strand
Symbiodinium61006	ribosomal protein
Symbiodinium23359	Belongs to the short-chain dehydrogenases reductases (SDR) family
Symbiodinium38902	serine-type carboxypeptidase activity
Symbiodinium27927	UDP-glucoronosyl and UDP-glucosyl transferase
Symbiodinium22141	PPPDE putative peptidase domain
Symbiodinium18197	Beta-1,4-xylosyltransferase
Symbiodinium11765	Encoded by
Symbiodinium25870	Belongs to the glycosyl hydrolase 5 (cellulase A) family
Symbiodinium35149	TRAM, LAG1 and CLN8 homology domains.
Symbiodinium12979	Adenylyl- / guanylyl cyclase, catalytic domain
Symbiodinium17063	AFG1-like ATPase
Symbiodinium21142	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Symbiodinium6648	ATPase activity, coupled to transmembrane movement of substances
Symbiodinium45242	Metallopeptidase family M24
Symbiodinium11239	Protein SDA1 homolog
Symbiodinium8842	Dynamin family
Symbiodinium42693	ABC transporter G family member
Symbiodinium13115	RNA-binding component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation
Symbiodinium28047	endochitinase activity
Symbiodinium19493	Required for the assembly and or stability of the 40S ribosomal subunit. Required for the processing of the 20S rRNA- precursor to mature 18S rRNA in a late step of the maturation of 40S ribosomal subunits
Symbiodinium54755	3'-5' exonuclease domain-containing protein
Symbiodinium33533	Na+/H+ antiporter family
Symbiodinium8249	canonical Wnt signaling pathway involved in osteoblast differentiation
Symbiodinium9503	ATP binding
Symbiodinium12249	Guanylate-binding protein, N-terminal domain
Symbiodinium39045	Belongs to the BI1 family
Symbiodinium6498	2OG-Fe(II) oxygenase superfamily
Symbiodinium17645	Pyrophosphatase that catalyzes the hydrolysis of nucleoside triphosphates to their monophosphate derivatives, with a high preference for the non-canonical purine nucleotides XTP (xanthosine triphosphate), dITP (deoxyinosine triphosphate) and ITP. Seems to function as a house-cleaning enzyme that removes non-canonical purine nucleotides from the nucleotide pool, thus preventing their incorporation into DNA RNA and avoiding chromosomal lesions
Symbiodinium22877	O-methyltransferase
Symbiodinium34333	Anaphase-promoting complex subunit 4 WD40 domain
Symbiodinium28777	Microsomal signal peptidase 12 kDa subunit (SPC12)
Symbiodinium46750	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity
Symbiodinium46889	Catalyzes the phosphorylation of pyrimidine nucleoside monophosphates at the expense of ATP. Plays an important role in de novo pyrimidine nucleotide biosynthesis. Has preference for UMP and CMP as phosphate acceptors
Symbiodinium25034	KDEL (Lys-Asp-Glu-Leu) containing
Symbiodinium46292	Major facilitator superfamily
Symbiodinium31297	KIAA1430 homologue
Symbiodinium48075	delayed rectifier potassium channel activity
Symbiodinium43851	Belongs to the protein kinase superfamily
Symbiodinium8209	cilium assembly
Symbiodinium28339	Small nuclear ribonucleoprotein
Symbiodinium52295	Hydrolyzes acetyl esters in homogalacturonan regions of pectin. In type I primary cell wall, galacturonic acid residues of pectin can be acetylated at the O-2 and O-3 positions. Decreasing the degree of acetylation of pectin gels in vitro alters their physical properties
Symbiodinium13189	Dual specificity phosphatase, catalytic domain
Symbiodinium48640	FAD binding
Symbiodinium37700	glucan endo-1,4-beta-glucanase activity, C-3 substituted reducing group
Symbiodinium32567	Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family
Symbiodinium25596	EF-hand domain
Symbiodinium19342	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase
Symbiodinium5108	DNA-(apurinic or apyrimidinic site) lyase
Symbiodinium28080	Catalyzes the reduction of hydroxylamine to form NH(3) and H(2)O
Symbiodinium9346	glutathione transferase activity
Symbiodinium28332	Pyridoxamine 5'-phosphate oxidase
Symbiodinium38861	PPPDE putative peptidase domain
Symbiodinium69463	Belongs to the Fur family
Symbiodinium27445	T-complex protein 1 subunit alpha
Symbiodinium41940	Nitronate monooxygenase
Symbiodinium2011	Belongs to the pseudouridine synthase RsuA family
Symbiodinium9906	Adp-ribosylation factor
Symbiodinium22784	RAP
Symbiodinium27708	ribosomal small subunit binding
Symbiodinium38834	Tubulin tyrosine ligase-like family, member 5
Symbiodinium27427	Acyl transferase domain
Symbiodinium27355	Belongs to the adenylate kinase family
Symbiodinium9159	COG3653 N-acyl-D-aspartate D-glutamate deacylase
Symbiodinium8930	Myotubularin related protein 1
Symbiodinium26294	cytochrome P450
Symbiodinium14550	Calcineurin-like phosphoesterase superfamily domain
Symbiodinium19546	PUA-like domain
Symbiodinium35530	cysteine dioxygenase activity. It is involved in the biological process described with
Symbiodinium40806	PFAM Alcohol dehydrogenase zinc-binding domain protein
Symbiodinium53094	Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family
Symbiodinium26291	Angel homolog
Symbiodinium53679	septum formation protein
Symbiodinium34039	protein tag
Symbiodinium43716	Domain present in PSD-95, Dlg, and ZO-1/2.
Symbiodinium46787	Belongs to the UDP-glycosyltransferase family
Symbiodinium46478	RNA recognition motif
Symbiodinium27964	Belongs to the small GTPase superfamily. Arf family
Symbiodinium43669	Belongs to the DHHC palmitoyltransferase family
Symbiodinium28259	Structural maintenance of chromosomes protein
Symbiodinium49681	-
Symbiodinium55940	GPI anchor biosynthetic process
Symbiodinium21674	ATP-dependent microtubule motor activity, plus-end-directed
Symbiodinium52092	Belongs to the mitochondrial carrier (TC 2.A.29) family
Symbiodinium44710	metallopeptidase activity
Symbiodinium28800	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions
Symbiodinium49039	Protein tyrosine kinase
Symbiodinium29713	Rad17 cell cycle checkpoint protein
Symbiodinium41975	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.
Symbiodinium41622	helicase activity
Symbiodinium58020	ATP-dependent DNA helicase, RecQ family protein
Symbiodinium52363	tRNA dihydrouridine synthase activity
Symbiodinium26350	Aldo/keto reductase family
Symbiodinium34903	Transmembrane protein 65
Symbiodinium59168	spectrin binding
Symbiodinium25333	The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome
Symbiodinium19363	Enoyl-CoA hydratase/isomerase
Symbiodinium30283	Domain of unknown function (DUF4464)
Symbiodinium27169	inorganic anion exchanger activity
Symbiodinium7927	Protein transport protein Sec61
Symbiodinium27496	Belongs to the peptidase A1 family
Symbiodinium16150	ubiquitin-protein transferase activity
Symbiodinium40818	-
Symbiodinium27080	glutamate-5-semialdehyde dehydrogenase activity
Symbiodinium50287	VPS10
Symbiodinium28031	ER lumen protein retaining receptor
Symbiodinium7939	Lytic transglycolase
Symbiodinium39672	Anaphase promoting complex subunit 11. Source PGD
Symbiodinium32036	-
Symbiodinium56986	GDP-D-glucose phosphorylase activity
Symbiodinium47448	Enhancer of rudimentary
Symbiodinium31042	protein serine/threonine kinase activity
Symbiodinium51234	thioesterase
Symbiodinium27948	ligase activity, forming nitrogen-metal bonds
Symbiodinium37962	Pentapeptide repeats (9 copies)
Symbiodinium54926	Glutathione S-transferase, C-terminal domain
Symbiodinium24876	AarF domain-containing protein kinase
Symbiodinium5475	Prolyl 4-hydroxylase alpha subunit homologues.
Symbiodinium54301	RING-H2 zinc finger domain
Symbiodinium45600	XPG N-terminal
Symbiodinium20765	protein-(glutamine-N5) methyltransferase activity
Symbiodinium17723	Produces ATP from ADP in the presence of a proton gradient across the membrane
Symbiodinium30690	synthase
Symbiodinium6526	polyketide biosynthetic process
Symbiodinium45069	receptor localization to non-motile cilium
Symbiodinium43295	CH-like domain in sperm protein
Symbiodinium38326	Membrane-associated ring finger (C3HC4) 11
Symbiodinium34411	serine threonine protein kinase
Symbiodinium6762	Diphthamide biosynthesis protein 7
Symbiodinium32560	NAD( )-dependent glutamate dehydrogenase which degrades glutamate to ammonia and alpha-ketoglutarate
Symbiodinium19884	Asparagine synthetase
Symbiodinium22352	Glycosyl hydrolases family 18
Symbiodinium28927	Catalyzes the reversible transfer of the terminal phosphate group between ATP and AMP. Plays an important role in cellular energy homeostasis and in adenine nucleotide metabolism
Symbiodinium14567	Prolyl 4-hydroxylase alpha subunit homologues.
Symbiodinium55706	Ceramidase
Symbiodinium56946	GTPase activator activity
Symbiodinium28871	regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway
Symbiodinium58044	Belongs to the prolyl-tRNA editing family. YbaK EbsC subfamily
Symbiodinium28303	polyketide synthase
Symbiodinium18003	protein with SCP PR1 domains
Symbiodinium21538	protein tag
Symbiodinium51956	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Symbiodinium43304	RNA recognition motif 2
Symbiodinium24770	purine nucleosidase activity
Symbiodinium47418	manganese ion binding
Symbiodinium5199	Sulfotransferase
Symbiodinium48181	COG0365 Acyl-coenzyme A synthetases AMP-(fatty) acid ligases
Symbiodinium27805	heat shock protein 70
Symbiodinium15559	MFS/sugar transport protein
Symbiodinium38210	iron ion binding
Symbiodinium34430	Signal-recognition-particle assembly has a crucial role in targeting secretory proteins to the rough endoplasmic reticulum membrane
Symbiodinium7754	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides
Symbiodinium55143	3-oxo-behenoyl-CoA reductase activity
Symbiodinium31798	AFG1-like ATPase
Symbiodinium46088	Transfers an acetyl group from acetyl-CoA to L- homoserine, forming acetyl-L-homoserine
Symbiodinium22269	Responsible for synthesis of pseudouridine from uracil
Symbiodinium21517	camp-dependent protein kinase
Symbiodinium6256	Snf2 family N-terminal domain-containing protein
Symbiodinium5806	metallocarboxypeptidase activity. It is involved in the biological process described with proteolysis
Symbiodinium50026	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
